work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,work_type
2020,MI,FT,Product Data Analyst,20000,USD,20000,HN,0,HN,S,On-site
2020,EN,FT,Data Analyst,72000,USD,72000,US,100,US,L,Fully Remote
2020,MI,FT,Business Data Analyst,135000,USD,135000,US,100,US,L,Fully Remote
2020,MI,FT,Lead Data Analyst,87000,USD,87000,US,100,US,L,Fully Remote
2020,MI,FT,Data Analyst,85000,USD,85000,US,100,US,L,Fully Remote
2020,MI,FT,Data Analyst,8000,USD,8000,PK,50,PK,L,Hybrid
2020,MI,FT,Product Data Analyst,450000,INR,6072,IN,100,IN,L,Fully Remote
2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,M,On-site
2020,EN,CT,Business Data Analyst,100000,USD,100000,US,100,US,L,Fully Remote
2020,MI,FT,Data Analyst,41000,EUR,46759,FR,50,FR,L,Hybrid
2020,EN,FT,Data Analyst,10000,USD,10000,NG,100,NG,S,Fully Remote
2020,EN,FT,Data Analyst,450000,INR,6072,IN,0,IN,S,On-site
2020,EN,FT,Data Analyst,91000,USD,91000,US,100,US,L,Fully Remote
2021,EX,FT,BI Data Analyst,150000,USD,150000,IN,100,US,L,Fully Remote
2021,MI,FT,BI Data Analyst,100000,USD,100000,US,100,US,M,Fully Remote
2021,EN,FT,Data Analyst,80000,USD,80000,US,100,US,M,Fully Remote
2021,EN,FT,Data Analyst,50000,EUR,59102,FR,50,FR,M,Hybrid
2021,SE,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L,Fully Remote
2021,SE,FT,Data Analyst,80000,USD,80000,BG,100,US,S,Fully Remote
2021,SE,FT,Marketing Data Analyst,75000,EUR,88654,GR,100,DK,L,Fully Remote
2021,MI,FT,Lead Data Analyst,1450000,INR,19609,IN,100,IN,L,Fully Remote
2021,MI,FT,Financial Data Analyst,450000,USD,450000,US,100,US,L,Fully Remote
2021,MI,FT,Data Analyst,75000,USD,75000,US,0,US,L,On-site
